ID_CONTADOR,ID_CLIENTE,FECHA_BUILD,FECHA_INSTALACION,LATITUD,LONGITUD,MUNICIPIO
CNT_000001,CLI_000001,2020-04-17,2020-07-04,38.252367,-0.701498,Elche
CNT_000002,CLI_000002,2016-02-26,2017-08-04,38.608316,-0.862031,Villena
CNT_000003,CLI_000003,2017-05-25,2018-06-04,38.693453,-0.485256,Alcoy
CNT_000004,CLI_000004,2022-07-12,2023-05-30,38.103069,-0.947444,Orihuela
CNT_000005,CLI_000005,2015-12-04,2017-11-21,38.358641,-0.485977,Alicante
CNT_000006,CLI_000006,2015-09-23,2017-08-25,38.355905,-0.476379,Alicante
CNT_000007,CLI_000007,2022-10-21,2023-04-18,38.3382,-0.472681,Alicante
CNT_000008,CLI_000008,2018-10-10,2020-06-12,38.463352,-0.785082,Elda
CNT_000009,CLI_000009,2021-08-04,2023-03-01,38.095106,-0.939747,Orihuela
CNT_000010,CLI_000010,2023-05-20,2024-03-04,38.524189,-0.145829,Benidorm
CNT_000011,CLI_000011,2019-12-20,2020-12-05,38.399802,-0.504462,Alicante
CNT_000012,CLI_000012,2021-03-14,2021-06-28,38.643846,-0.872757,Villena
CNT_000013,CLI_000013,2015-11-17,2016-04-04,38.471732,-0.795187,Elda
CNT_000014,CLI_000014,2017-04-29,2019-03-10,38.329915,-0.454731,Alicante
CNT_000015,CLI_000015,2016-12-19,2018-07-18,38.342876,-0.510073,Alicante
CNT_000016,CLI_000016,2017-09-18,2018-12-14,38.339212,-0.489935,Alicante
CNT_000017,CLI_000017,2023-12-28,2025-02-23,38.373121,-0.457175,Alicante
CNT_000018,CLI_000018,2019-12-14,2020-09-03,37.982055,-0.687598,Torrevieja
CNT_000019,CLI_000019,2023-03-20,2024-03-13,38.249404,-0.688171,Elche
CNT_000020,CLI_000020,2023-12-19,2024-12-07,38.392461,-0.484489,Alicante
CNT_000021,CLI_000021,2016-12-17,2017-06-15,38.085786,-0.939364,Orihuela
CNT_000022,CLI_000022,2017-09-11,2019-04-09,38.364421,-0.486712,Alicante
CNT_000023,CLI_000023,2020-04-23,2022-02-17,38.329994,-0.464323,Alicante
CNT_000024,CLI_000024,2017-06-14,2017-08-14,38.273489,-0.732291,Elche
CNT_000025,CLI_000025,2018-03-22,2019-01-17,38.272344,-0.706293,Elche
CNT_000026,CLI_000026,2024-08-01,2026-05-25,38.373624,-0.521741,San Vicente del Raspeig
CNT_000027,CLI_000027,2019-11-12,2020-12-13,38.395582,-0.467658,Alicante
CNT_000028,CLI_000028,2021-05-23,2022-10-26,38.293894,-0.665455,Elche
CNT_000029,CLI_000029,2022-09-05,2023-08-16,38.076856,-0.95232,Orihuela
CNT_000030,CLI_000030,2024-04-15,2025-12-25,38.317643,-0.444013,Alicante
CNT_000031,CLI_000031,2018-12-30,2020-09-07,38.091751,-0.95768,Orihuela
CNT_000032,CLI_000032,2019-06-04,2021-01-25,38.347367,-0.447784,Alicante
CNT_000033,CLI_000033,2021-12-18,2023-09-05,38.354092,-0.460563,Alicante
CNT_000034,CLI_000034,2018-03-18,2019-04-19,38.639299,-0.877162,Villena
CNT_000035,CLI_000035,2016-06-25,2016-10-12,38.643075,-0.862516,Villena
CNT_000036,CLI_000036,2016-09-26,2017-04-15,38.413668,-0.525915,San Vicente del Raspeig
CNT_000037,CLI_000037,2024-09-23,2025-07-07,38.359403,-0.46536,Alicante
CNT_000038,CLI_000038,2018-09-11,2019-07-16,38.318959,-0.486582,Alicante
CNT_000039,CLI_000039,2023-03-06,2024-08-20,38.550551,-0.134987,Benidorm
CNT_000040,CLI_000040,2023-06-28,2025-02-04,38.301594,-0.66818,Elche
CNT_000041,CLI_000041,2024-02-13,2025-07-17,38.424001,-0.483468,Alicante
CNT_000042,CLI_000042,2016-11-28,2018-08-04,38.240783,-0.680119,Elche
CNT_000043,CLI_000043,2020-05-06,2021-12-22,38.351272,-0.486634,Alicante
CNT_000044,CLI_000044,2020-10-23,2021-10-24,38.809469,0.1307,Denia
CNT_000045,CLI_000045,2024-12-07,2026-05-25,38.359029,-0.497958,Alicante
CNT_000046,CLI_000046,2019-05-24,2020-05-13,38.527622,-0.13867,Benidorm
CNT_000047,CLI_000047,2016-05-12,2016-11-29,38.307816,-0.664761,Elche
CNT_000048,CLI_000048,2024-07-19,2024-11-09,37.964757,-0.690209,Torrevieja
CNT_000049,CLI_000049,2016-12-22,2018-06-28,37.948295,-0.653381,Torrevieja
CNT_000050,CLI_000050,2019-11-10,2021-04-03,38.333418,-0.458704,Alicante
CNT_000051,CLI_000051,2018-09-25,2020-04-20,38.613294,-0.868056,Villena
CNT_000052,CLI_000052,2015-11-04,2017-01-24,38.707413,-0.49516,Alcoy
CNT_000053,CLI_000053,2022-07-14,2023-07-17,38.463249,-0.770193,Petrer
CNT_000054,CLI_000054,2017-06-02,2018-05-17,38.841127,0.107224,Denia
